"Story","Title","Result","Date","Stability","Duration (s)"
"Ver las reservas que el usuario tiene activas o ha realizado","Verificar la autenticacion exitosa en la pagina de Parkeatec","PENDING","2025-05-29T14:01:22.7910967-05:00[America/Bogota]","0.0","0.27"
"Ver las reservas que el usuario tiene activas o ha realizado","Mostrar la reserva activa y las reservas realizadas por el usuario","SUCCESS","2025-05-30T19:44:05.9406477-05:00[America/Bogota]","0.0","11.24"
