"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar el registro de un usuario","Hacer el registro de nuevos usuarios","ERROR","2025-06-18T16:01:12.1516255-05:00[America/Bogota]","0.0","6.41"
"Ver los datos del perfil","Visualizar los datos en la pagina de parkeatec","SUCCESS","2025-06-17T19:30:33.0101296-05:00[America/Bogota]","0.0","7.0"
"Ver los vehiculos dentro del sistema","Visualizar los vehiculos dentro de la pagina de parkeatec","SUCCESS","2025-06-18T14:34:54.5654941-05:00[America/Bogota]","0.0","6.57"
